Table,en-UK,ru-RU,zh-CN
ProjectDiagnostics_OutdatedReport,Diagnostics failed to display correctly. Please run a new build,"Не удалось отобразить диагностику. Пожалуйста, запустите новый билд",项目诊断无法显示，请重新构建
,,,
Popup_CreateHubBuildStart_Title,Build Project?,Собрать проект?,构建项目?
Popup_CreateHubBuildStart_Description,There are issues in project diagnostics that could improve playable health if fixed.\n\nBuild anyway?,"Обнаружены проблемы в диагностике проекта. Можно повысить качество плеебла, если их исправить.\n\nВсе равно собрать проект?",项目诊断中有问题可以修复以提升性能。\n\n确定现在构建？
Popup_CreateHubBuildStart_Ok,Build,Собрать,构建
Popup_CreateHubBuildStart_Cancel,Cancel,Отмена,取消
,,,
CreateHub_CoreIssuesWarning,Issues with the core functionality of the playable have been found. Please fix before uploading to Create Hub,"Найдены проблемы в главной функциональности плеебла. Пожалуйста, исправьте перед загрузкой в Create Hub",检测到可玩广告核心功能相关的问题，请修复后再尝试上传至 Create Hub
,,,
ProjectDiagnostics_LP_UnreadableVideoClip_Description,Unsupported video format '{0}',Unsupported video format '{0}',Unsupported video format '{0}'
ProjectDiagnostics_LP_UnreadableVideoClip_Details,Unsupported video format '{0}',Unsupported video format '{0}',Unsupported video format '{0}'
,,,
Popup_UnhandledException_Title,Unhandled Exception,Необрабатываемое исключение,未处理异常
Popup_UnhandledException_Description,Please check console for more details,Дополнительную информацию можете найти в окне консоли,请在控制台查看更多细节
Popup_UnhandledException_Ok,Okay,Окей,好的
Popup_UnhandledException_MoreDetails,More details,Подробности,更多细节
,,,
ProjectDiagnostics_IssueDetails,Issue Details,Детали,问题细节
HealthCheck_Title,Playable Health Status,Статус качества плеебла,可玩广告健康状态
HealthCheck_FixButton,Details,Подробности,详细信息
HealthCheck_Category_Description_Empty,{0} has no issues!,Раздел {0} не содержит проблем!,{0} 没有问题！
HealthCheck_Category_Description_Core,"Your project is unable to compile, please fix all compiler errors in order to test and upload your project.","Ваш проект не компилируется. Пожалуйста, исправьте все ошибки компиляции, чтобы протестировать и опубликовать проект.","您的项目无法编译，请修复所有编译器错误以进行测试和上传。
"
HealthCheck_Category_Description_AdNetwork,Your project is not compatible with all ad networks. This means some ad networks may reject your playable.,"Ваш проект не поддерживается всеми рекламными сетями. Это означает, что некоторые рекламные сети отклонят Ваш плеебл.",您的项目并没有和所有广告网络兼容。一些网络可能不会接受您的可玩广告。
HealthCheck_Category_Description_TechnicalPerformance,"Your project's technical performance may be impacted by issues present within the category, consider fixing to improve technical performance of your playable","Производительность Вашего проекта может быть ухудшена проблемами, представленными в этой категории. Исправьте их, чтобы повысить техническое качество плеебла","
您的项目的技术性能可能受当前检测到的问题的影响，请考虑修复以提升性能。"
HealthCheck_Category_Description_BestPractises,Your project does not employ all of our best practises. Fix the issues to improve your playable in various ways,"Ваш проект не использует все наши лучшие практики. Исправьте проблемы, чтобы улучшить Ваш плеебл в разных направлениях",您的项目没有完全参照我们的最佳实践。请修复潜在问题以提升各方面性能。
,,,
Popup_EnableAnimationCompression_Title,Enable Animation compression?,Enable Animation compression?,Enable Animation compression?
Popup_EnableAnimationCompression_Description,This action can be reverted in the Assets section,This action can be reverted in the Assets section,This action can be reverted in the Assets section
Popup_EnableAnimationCompression_Ok,Okay,Okay,Okay
Popup_EnableAnimationCompression_Cancel,Cancel,Cancel,Cancel
Popup_EnableAnimationCompression_Docs,Open Documentation,Open Documentation,Open Documentation
,,,
Popup_EnableMeshCompression_Title,Enable Mesh compression?,Enable Mesh compression?,Enable Mesh compression?
Popup_EnableMeshCompression_Description,This action can be reverted in the Assets section,This action can be reverted in the Assets section,This action can be reverted in the Assets section
Popup_EnableMeshCompression_Ok,Okay,Okay,Okay
Popup_EnableMeshCompression_Cancel,Cancel,Cancel,Cancel
Popup_EnableMeshCompression_Docs,Open Documentation,Open Documentation,Open Documentation
,,,
Popup_EnableRuntimeAnalysis_Title,Enable Runtime Analysis?,Enable Runtime Analysis?,Enable Runtime Analysis?
Popup_EnableRuntimeAnalysis_Description,This action can be reverted in the Runtime Analysis section,This action can be reverted in the Runtime Analysis section,This action can be reverted in the Runtime Analysis section
Popup_EnableRuntimeAnalysis_Ok,Okay,Okay,Okay
Popup_EnableRuntimeAnalysis_Cancel,Cancel,Cancel,Cancel
Popup_EnableRuntimeAnalysis_Docs,Open Documentation,Open Documentation,Open Documentation
,,,
Basic_ScenesInBuild_HINT,Scenes in Build will display a list of all scenes currently configured in Unity's Build Settings window and additionally (from version 3.5.0) your currently open scene in Unity Editor if it has not been added to Build Settings. Toggling it will add the scene to Build Settings. This is necessary for Luna to be able to discover the list of scenes and also to be able to gather the assets and scripts used by those scenes. Build Settings window can be opened via File > Build Settings,Scenes in Build will display a list of all scenes currently configured in Unity's Build Settings window and additionally (from version 3.5.0) your currently open scene in Unity Editor if it has not been added to Build Settings. Toggling it will add the scene to Build Settings. This is necessary for Luna to be able to discover the list of scenes and also to be able to gather the assets and scripts used by those scenes. Build Settings window can be opened via File > Build Settings,Scenes in Build will display a list of all scenes currently configured in Unity's Build Settings window and additionally (from version 3.5.0) your currently open scene in Unity Editor if it has not been added to Build Settings. Toggling it will add the scene to Build Settings. This is necessary for Luna to be able to discover the list of scenes and also to be able to gather the assets and scripts used by those scenes. Build Settings window can be opened via File > Build Settings
Basic_UseDevEnv_HINT,activate Luna Create preview interface to for develop builds,activate Luna Create preview interface to for develop builds,activate Luna Create preview interface to for develop builds
Basic_ExportType_HINT,which assets will be exported from Luna. Several options are provided to allow you reduce the size quickly,which assets will be exported from Luna. Several options are provided to allow you reduce the size quickly,which assets will be exported from Luna. Several options are provided to allow you reduce the size quickly
Advanced_GameSettings_HINT,In the Luna Playable Unity plugin interface a number of advanced settings are provided in order to help you customise the build output of your playables. Navigate to the Settings section and the Advanced tab,In the Luna Playable Unity plugin interface a number of advanced settings are provided in order to help you customise the build output of your playables. Navigate to the Settings section and the Advanced tab,In the Luna Playable Unity plugin interface a number of advanced settings are provided in order to help you customise the build output of your playables. Navigate to the Settings section and the Advanced tab
Advanced_UsePlayerPrefs_HINT,If your game uses PlayerPrefs then you may use this checkbox to test the playable behaviour as some ad networks may not facilitate the storing/retrieving of local data,If your game uses PlayerPrefs then you may use this checkbox to test the playable behaviour as some ad networks may not facilitate the storing/retrieving of local data,If your game uses PlayerPrefs then you may use this checkbox to test the playable behaviour as some ad networks may not facilitate the storing/retrieving of local data
Advanced_CodeMinification_HINT,Code minification removes unnecessary or redundant data without affecting how the code is executed in the browser. This should be used to reduce the overall size of your playable,Code minification removes unnecessary or redundant data without affecting how the code is executed in the browser. This should be used to reduce the overall size of your playable,Code minification removes unnecessary or redundant data without affecting how the code is executed in the browser. This should be used to reduce the overall size of your playable
Advanced_GenericCheck_HINT,This feature is used for specific cases with generics and notably should be enabled when using the DOTween plugin,This feature is used for specific cases with generics and notably should be enabled when using the DOTween plugin,This feature is used for specific cases with generics and notably should be enabled when using the DOTween plugin
Advanced_DisableAntiAliasing_HINT,By default anti aliasing will be used if supported by the device which is running the playable. Use this option if you want to disable anti alias for all devices,By default anti aliasing will be used if supported by the device which is running the playable. Use this option if you want to disable anti alias for all devices,By default anti aliasing will be used if supported by the device which is running the playable. Use this option if you want to disable anti alias for all devices
Advanced_ForceBase64_HINT,Luna now encodes assets such as images and videos in Base122. By switching to Base122 we can now represent assets using 122 characters instead of 64 saving up to ~30% space in comparison to Base64,Luna now encodes assets such as images and videos in Base122. By switching to Base122 we can now represent assets using 122 characters instead of 64 saving up to ~30% space in comparison to Base64,Luna now encodes assets such as images and videos in Base122. By switching to Base122 we can now represent assets using 122 characters instead of 64 saving up to ~30% space in comparison to Base64
Advanced_Preloader_HINT,The preloader is displayed while the playable ad is initialising to ensure users aren't left waiting with a blank screen,The preloader is displayed while the playable ad is initialising to ensure users aren't left waiting with a blank screen,The preloader is displayed while the playable ad is initialising to ensure users aren't left waiting with a blank screen
Advanced_Preloader_Active_HINT,This checkbox enables or disables the preloader,This checkbox enables or disables the preloader,This checkbox enables or disables the preloader
Advanced_Preloader_Icon_HINT,The icon will be displayed in the centre of the screen,The icon will be displayed in the centre of the screen,The icon will be displayed in the centre of the screen
Advanced_Preloader_Background_Color_HINT,Use this field to change the background color of the preloader,Use this field to change the background color of the preloader,Use this field to change the background color of the preloader
Basic_ProjectSettings_HINT,Basic settings,Basic settings,Basic settings
Basic_ProjectSettings_AutoInstantiate_HINT,The Auto-instantiate Prefabs option instantiates prefabs during playable startup when enabled. This can lead to longer loading time but reduce frame rate drops during gameplay,The Auto-instantiate Prefabs option instantiates prefabs during playable startup when enabled. This can lead to longer loading time but reduce frame rate drops during gameplay,The Auto-instantiate Prefabs option instantiates prefabs during playable startup when enabled. This can lead to longer loading time but reduce frame rate drops during gameplay
Basic_ProjectSettings_RealtimeShadows_HINT,Realtime Shadows,Realtime Shadows,Realtime Shadows
EditorTab_AdNetworkSettings_GlobalSettingsTitle_HINT,Ad Networks,Ad Networks,Ad Networks
EditorTab_AdNetworkSettings_AppName_HINT,The name of your application which will be used in the Preloader displayed before the ad has loaded,The name of your application which will be used in the Preloader displayed before the ad has loaded,The name of your application which will be used in the Preloader displayed before the ad has loaded
EditorTab_AdNetworkSettings_IosLink_HINT,The Apple App Store link for your app. Please note this is only required for Unity Ads & AdColony,The Apple App Store link for your app. Please note this is only required for Unity Ads & AdColony,The Apple App Store link for your app. Please note this is only required for Unity Ads & AdColony
EditorTab_AdNetworkSettings_AndroidLink_HINT,The Google Play Store link for your app. Please note this is only required for Unity Ads & AdColony,The Google Play Store link for your app. Please note this is only required for Unity Ads & AdColony,The Google Play Store link for your app. Please note this is only required for Unity Ads & AdColony
EditorTab_AdNetworkSettings_FacebookTitle_HINT,Facebook,Facebook,Facebook
EditorTab_AdNetworkSettings_FbAssetId_HINT,The unique ID of your asset,The unique ID of your asset,The unique ID of your asset
EditorTab_AdNetworkSettings_FbPackageType_HINT,Whether the build for Facebook is provided as a ZIP (5Mb limit) or a single inlined HTML file (2Mb limit),Whether the build for Facebook is provided as a ZIP (5Mb limit) or a single inlined HTML file (2Mb limit),Whether the build for Facebook is provided as a ZIP (5Mb limit) or a single inlined HTML file (2Mb limit)
EditorTab_AdNetworkSettings_IronSourceTitle_HINT,IronSource,IronSource,IronSource
EditorTab_AdNetworkSettings_IsApiType_HINT,the API which will be used in the playable ad,the API which will be used in the playable ad,the API which will be used in the playable ad
EditorTab_AdNetworkSettings_IsApiMode_HINT,pa (playable) or iec (interactive end card),pa (playable) or iec (interactive end card),pa (playable) or iec (interactive end card)
EditorTab_AdNetworkSettings_IsVersionCode_HINT,Version code (please consult ironSource documentation),Version code (please consult ironSource documentation),Version code (please consult ironSource documentation)
EditorTab_AdNetworkSettings_IsAppGenre_HINT,Application Genre,Application Genre,Application Genre
EditorTab_AdNetworkSettings_IsPackageType_HINT,Whether the build for ironSource is provided as a single inlined HTML file or used a CDN to deliver the assets,Whether the build for ironSource is provided as a single inlined HTML file or used a CDN to deliver the assets,Whether the build for ironSource is provided as a single inlined HTML file or used a CDN to deliver the assets
EditorTab_AdNetworkSettings_TikTokTencentTitle_HINT,TikTok & Tencent,TikTok & Tencent,TikTok & Tencent
EditorTab_AdNetworkSettings_TttOrientation_HINT,Both TikTok and Tencent require that you define whether your playable supports responsive or fixed orientation,Both TikTok and Tencent require that you define whether your playable supports responsive or fixed orientation,Both TikTok and Tencent require that you define whether your playable supports responsive or fixed orientation
EditorTab_AdNetworkSettings_TikTokTitle_HINT,TikTok,TikTok,TikTok
EditorTab_AdNetworkSettings_TtLanguage_HINT,TikTok requires that you specify which languages your playable will support,TikTok requires that you specify which languages your playable will support,TikTok requires that you specify which languages your playable will support
EditorTab_AdNetworkSettings_FbDisableCompression_HINT,Facebook disable compresion,Facebook disable compresion,Facebook disable compresion
Account_Account_HINT,Here you can logout of your Create Hub account,Here you can logout of your Create Hub account,Here you can logout of your Create Hub account
InclExclAssets_ForceExclude_HINT,The Assets sections allows you to control which assets are excluded from your build,The Assets sections allows you to control which assets are excluded from your build,The Assets sections allows you to control which assets are excluded from your build
InclExclAssets_ForceInclude_HINT,For exclude and include assets from your build. Please note selecting a folder includes every asset in that folder and force-include always wins,For exclude and include assets from your build. Please note selecting a folder includes every asset in that folder and force-include always wins,For exclude and include assets from your build. Please note selecting a folder includes every asset in that folder and force-include always wins
TexturesTab_DefaultSettings_HINT,Textures often take most of the build size due to specifics of the data they hold: big arrays of pixels,Textures often take most of the build size due to specifics of the data they hold: big arrays of pixels,Textures often take most of the build size due to specifics of the data they hold: big arrays of pixels
TexturesTab_MaxSize_HINT,This control allows to set maximum allowed size of a texture,This control allows to set maximum allowed size of a texture,This control allows to set maximum allowed size of a texture
TexturesTab_Format_HINT,This controls the format of the texture. By default Luna uses PNG32 format which is a lossless compression format supporting RGB and Alpha channels,This controls the format of the texture. By default Luna uses PNG32 format which is a lossless compression format supporting RGB and Alpha channels,This controls the format of the texture. By default Luna uses PNG32 format which is a lossless compression format supporting RGB and Alpha channels
TexturesTab_Compression_HINT,PNG is well-known for being able to be compressed to reduce size whilst maintain quality images,PNG is well-known for being able to be compressed to reduce size whilst maintain quality images,PNG is well-known for being able to be compressed to reduce size whilst maintain quality images
TexturesTab_Quality_HINT,Quality,Quality,Quality
TexturesTab_CustomScript_HINT,There are instances when a developer can find their own combination of settings for pngcrush or even resort to a custom tool like pngquat (which we highly recommend to consider for PNG files with limited colors),There are instances when a developer can find their own combination of settings for pngcrush or even resort to a custom tool like pngquat (which we highly recommend to consider for PNG files with limited colors),There are instances when a developer can find their own combination of settings for pngcrush or even resort to a custom tool like pngquat (which we highly recommend to consider for PNG files with limited colors)
TexturesTab_CustomScriptExtension_HINT,There are instances when a developer can find their own combination of settings for pngcrush or even resort to a custom tool like pngquat (which we highly recommend to consider for PNG files with limited colors),There are instances when a developer can find their own combination of settings for pngcrush or even resort to a custom tool like pngquat (which we highly recommend to consider for PNG files with limited colors),There are instances when a developer can find their own combination of settings for pngcrush or even resort to a custom tool like pngquat (which we highly recommend to consider for PNG files with limited colors)
SoundsTab_DefaultSoundSettings_HINT,Similar to textures sounds might be rather bloated due to source assets having stereo tracks at high bit rates,Similar to textures sounds might be rather bloated due to source assets having stereo tracks at high bit rates,Similar to textures sounds might be rather bloated due to source assets having stereo tracks at high bit rates
SoundsTab_Bitrate_HINT,This controls the bitrate of the sound measured in Kb/s,This controls the bitrate of the sound measured in Kb/s,This controls the bitrate of the sound measured in Kb/s
SoundsTab_Cropping_HINT,Cropping,Cropping,Cropping
FontTab_DefaultFontSettings_HINT,This section allows for a fine control over how Luna generates such atlases and is primarily aimed at optimising for wire size of the font data,This section allows for a fine control over how Luna generates such atlases and is primarily aimed at optimising for wire size of the font data,This section allows for a fine control over how Luna generates such atlases and is primarily aimed at optimising for wire size of the font data
FontTab_Alphabet_HINT,This controls which characters get rasterized into an atlas,This controls which characters get rasterized into an atlas,This controls which characters get rasterized into an atlas
FontTab_GlyphSize_HINT,This controls line height measured in pixels for the rasterization tool,This controls line height measured in pixels for the rasterization tool,This controls line height measured in pixels for the rasterization tool
FontTab_TextureSize_HINT,This controls the file size and thus the overall quality of your font: The lower the file size the lower the quality,This controls the file size and thus the overall quality of your font: The lower the file size the lower the quality,This controls the file size and thus the overall quality of your font: The lower the file size the lower the quality
Meshes_DefaultMeshSettings_HINT,Luna exports vertex data from meshes as float numbers to keep it as precise as possible to the original art,Luna exports vertex data from meshes as float numbers to keep it as precise as possible to the original art,Luna exports vertex data from meshes as float numbers to keep it as precise as possible to the original art
Meshes_HalfPrecision_HINT,This will instruct Luna to use half-precision floats for storing mesh data reducing the size taken by 50%,This will instruct Luna to use half-precision floats for storing mesh data reducing the size taken by 50%,This will instruct Luna to use half-precision floats for storing mesh data reducing the size taken by 50%
Animations_DefaultAnimationSettings_HINT,Animations are in most cases represented as simple curves (and sometimes are as references to other objects,Animations are in most cases represented as simple curves (and sometimes are as references to other objects,Animations are in most cases represented as simple curves (and sometimes are as references to other objects
Animations_HalfPrecision_HINT,This will instruct Luna to use half-precision floats for storing animation data reducing the size taken by 50%,This will instruct Luna to use half-precision floats for storing animation data reducing the size taken by 50%,This will instruct Luna to use half-precision floats for storing animation data reducing the size taken by 50%
ScriptingDefinesTab_Defines_HINT,In your game code you may wrap certain features in Scripting Defines; this code will only be compiled and run in certain conditions or platforms such as specific Unity Versions,In your game code you may wrap certain features in Scripting Defines; this code will only be compiled and run in certain conditions or platforms such as specific Unity Versions,In your game code you may wrap certain features in Scripting Defines; this code will only be compiled and run in certain conditions or platforms such as specific Unity Versions
CodeExcludeTab_ForceExclude_HINT,The Code section of the Luna UI provides a number of tools and features that help you navigate your code and ensure it can be compiled to run on the Luna game engine,The Code section of the Luna UI provides a number of tools and features that help you navigate your code and ensure it can be compiled to run on the Luna game engine,The Code section of the Luna UI provides a number of tools and features that help you navigate your code and ensure it can be compiled to run on the Luna game engine
StubberTab_ThirdPartySdks_HINT,Automatic Stubbing is a feature of the Luna Playable plugin for Unity that allows you to automatically stub libraries that are not essential to your playable but are included in your Unity project,Automatic Stubbing is a feature of the Luna Playable plugin for Unity that allows you to automatically stub libraries that are not essential to your playable but are included in your Unity project,Automatic Stubbing is a feature of the Luna Playable plugin for Unity that allows you to automatically stub libraries that are not essential to your playable but are included in your Unity project
StubberTab_CustomSdkName_HINT,Library to stub,Library to stub,Library to stub
StubberTab_CustomSdkNamespace_HINT,Namespace to stub,Namespace to stub,Namespace to stub
StubberTab_CustomSdkClasses_HINT,Classes to stub,Classes to stub,Classes to stub
ExternalSourceTab_CsSources_HINT,At times you may wish to include additional C# source code for example from a shared or centralised repository,At times you may wish to include additional C# source code for example from a shared or centralised repository,At times you may wish to include additional C# source code for example from a shared or centralised repository
ExternalSourceTab_ExternalJs_HINT,If you include External JavaScript libraries into your project you can use Bridge.Script.Write() to execute their code,If you include External JavaScript libraries into your project you can use Bridge.Script.Write() to execute their code,If you include External JavaScript libraries into your project you can use Bridge.Script.Write() to execute their code
RuntimeAnalysisTab_Title_HINT,Runtime Analysis is a feature of Luna Playable that excludes unused classes methods or shaders from your playable build in order to save space whilst also eliminating the time needed to manually exclude these yourself,Runtime Analysis is a feature of Luna Playable that excludes unused classes methods or shaders from your playable build in order to save space whilst also eliminating the time needed to manually exclude these yourself,Runtime Analysis is a feature of Luna Playable that excludes unused classes methods or shaders from your playable build in order to save space whilst also eliminating the time needed to manually exclude these yourself
RuntimeAnalysisTab_PauseCode_HINT,By activating this checkbox you will prevent Runtime Analysis from removing any code regardless of the content of excluded code or excluded modules,By activating this checkbox you will prevent Runtime Analysis from removing any code regardless of the content of excluded code or excluded modules,By activating this checkbox you will prevent Runtime Analysis from removing any code regardless of the content of excluded code or excluded modules
RuntimeAnalysisTab_ExcludedModules_HINT,In this section you can specify if your project does not use any of the following modules,In this section you can specify if your project does not use any of the following modules,In this section you can specify if your project does not use any of the following modules
RuntimeAnalysisTab_PauseShaders_HINT,By activating this checkbox you will prevent Runtime Analysis from from removing any shader,By activating this checkbox you will prevent Runtime Analysis from from removing any shader,By activating this checkbox you will prevent Runtime Analysis from from removing any shader
ProjectDiagnostics_OptimiseExportWithCaching_HINT,OptimiseExportWithCaching,OptimiseExportWithCaching,OptimiseExportWithCaching
